id	total_votes	vote_rate
2005.03012	17	votes_VoxCharta/arXiv_2005.03012_votes.txt
2005.03017	15	votes_VoxCharta/arXiv_2005.03017_votes.txt
2005.03018	8	votes_VoxCharta/arXiv_2005.03018_votes.txt
2005.03019	11	votes_VoxCharta/arXiv_2005.03019_votes.txt
2005.03020	0	
2005.03024	13	votes_VoxCharta/arXiv_2005.03024_votes.txt
2005.03025	8	votes_VoxCharta/arXiv_2005.03025_votes.txt
2005.03027	3	votes_VoxCharta/arXiv_2005.03027_votes.txt
2005.03030	1	votes_VoxCharta/arXiv_2005.03030_votes.txt
2005.03034	0	
2005.03037	2	votes_VoxCharta/arXiv_2005.03037_votes.txt
2005.03038	6	votes_VoxCharta/arXiv_2005.03038_votes.txt
2005.03040	15	votes_VoxCharta/arXiv_2005.03040_votes.txt
2005.03041	6	votes_VoxCharta/arXiv_2005.03041_votes.txt
2005.03042	0	
2005.03043	34	votes_VoxCharta/arXiv_2005.03043_votes.txt
2005.03045	1	votes_VoxCharta/arXiv_2005.03045_votes.txt
2005.03050	2	votes_VoxCharta/arXiv_2005.03050_votes.txt
2005.03055	8	votes_VoxCharta/arXiv_2005.03055_votes.txt
2005.03056	1	votes_VoxCharta/arXiv_2005.03056_votes.txt
2005.03058	5	votes_VoxCharta/arXiv_2005.03058_votes.txt
2005.03060	0	
2005.03110	0	
2005.03113	6	votes_VoxCharta/arXiv_2005.03113_votes.txt
2005.03124	4	votes_VoxCharta/arXiv_2005.03124_votes.txt
2005.03132	1	votes_VoxCharta/arXiv_2005.03132_votes.txt
2005.03140	0	
2005.03170	0	
2005.03175	0	
2005.03212	3	votes_VoxCharta/arXiv_2005.03212_votes.txt
2005.03254	0	
2005.03303	0	
2005.03307	1	votes_VoxCharta/arXiv_2005.03307_votes.txt
2005.03317	0	
2005.03348	0	
2005.03368	0	
2005.03371	0	
2005.03379	0	
2005.03423	0	
2005.03431	3	votes_VoxCharta/arXiv_2005.03431_votes.txt
2005.03438	1	votes_VoxCharta/arXiv_2005.03438_votes.txt
2005.03462	2	votes_VoxCharta/arXiv_2005.03462_votes.txt
2005.03480	1	votes_VoxCharta/arXiv_2005.03480_votes.txt
2005.03486	0	
2005.03515	9	votes_VoxCharta/arXiv_2005.03515_votes.txt
2005.03517	5	votes_VoxCharta/arXiv_2005.03517_votes.txt
2005.03520	0	
2005.03536	1	votes_VoxCharta/arXiv_2005.03536_votes.txt
2005.03546	1	votes_VoxCharta/arXiv_2005.03546_votes.txt
2005.03549	1	votes_VoxCharta/arXiv_2005.03549_votes.txt
2005.03567	4	votes_VoxCharta/arXiv_2005.03567_votes.txt
2005.03571	2	votes_VoxCharta/arXiv_2005.03571_votes.txt
2005.03573	1	votes_VoxCharta/arXiv_2005.03573_votes.txt
2005.03578	2	votes_VoxCharta/arXiv_2005.03578_votes.txt
2005.03609	2	votes_VoxCharta/arXiv_2005.03609_votes.txt
2005.03618	0	
2005.03635	0	
2005.03641	1	votes_VoxCharta/arXiv_2005.03641_votes.txt
2005.03646	16	votes_VoxCharta/arXiv_2005.03646_votes.txt
2005.03657	1	votes_VoxCharta/arXiv_2005.03657_votes.txt
2005.03663	9	votes_VoxCharta/arXiv_2005.03663_votes.txt
2005.03664	5	votes_VoxCharta/arXiv_2005.03664_votes.txt
2005.03665	14	votes_VoxCharta/arXiv_2005.03665_votes.txt
2005.03668	3	votes_VoxCharta/arXiv_2005.03668_votes.txt
2005.03669	3	votes_VoxCharta/arXiv_2005.03669_votes.txt
2005.03672	16	votes_VoxCharta/arXiv_2005.03672_votes.txt
2005.03677	6	votes_VoxCharta/arXiv_2005.03677_votes.txt
2005.03682	15	votes_VoxCharta/arXiv_2005.03682_votes.txt
2005.03683	0	
2005.03685	8	votes_VoxCharta/arXiv_2005.03685_votes.txt
2005.03700	0	
2005.03707	3	votes_VoxCharta/arXiv_2005.03707_votes.txt
2005.03708	2	votes_VoxCharta/arXiv_2005.03708_votes.txt
2005.03710	3	votes_VoxCharta/arXiv_2005.03710_votes.txt
2005.03731	2	votes_VoxCharta/arXiv_2005.03731_votes.txt
2005.03733	0	
2005.03735	27	votes_VoxCharta/arXiv_2005.03735_votes.txt
2005.03745	0	
2005.03751	0	
2005.03777	5	votes_VoxCharta/arXiv_2005.03777_votes.txt
2005.03785	3	votes_VoxCharta/arXiv_2005.03785_votes.txt
2005.03798	1	votes_VoxCharta/arXiv_2005.03798_votes.txt
2005.03801	0	
2005.03806	0	
2005.03830	0	
2005.03833	1	votes_VoxCharta/arXiv_2005.03833_votes.txt
2005.03856	0	
2005.03890	2	votes_VoxCharta/arXiv_2005.03890_votes.txt
2005.03891	3	votes_VoxCharta/arXiv_2005.03891_votes.txt
2005.03894	2	votes_VoxCharta/arXiv_2005.03894_votes.txt
2005.03900	2	votes_VoxCharta/arXiv_2005.03900_votes.txt
2005.03901	1	votes_VoxCharta/arXiv_2005.03901_votes.txt
2005.03907	2	votes_VoxCharta/arXiv_2005.03907_votes.txt
2005.03917	9	votes_VoxCharta/arXiv_2005.03917_votes.txt
2005.03945	2	votes_VoxCharta/arXiv_2005.03945_votes.txt
2005.03955	0	
2005.03966	0	
2005.03972	4	votes_VoxCharta/arXiv_2005.03972_votes.txt
2005.04002	6	votes_VoxCharta/arXiv_2005.04002_votes.txt
2005.04005	8	votes_VoxCharta/arXiv_2005.04005_votes.txt
2005.04052	9	votes_VoxCharta/arXiv_2005.04052_votes.txt
2005.04057	0	
2005.04061	0	
2005.04075	6	votes_VoxCharta/arXiv_2005.04075_votes.txt
2005.04085	3	votes_VoxCharta/arXiv_2005.04085_votes.txt
2005.04109	6	votes_VoxCharta/arXiv_2005.04109_votes.txt
2005.04121	3	votes_VoxCharta/arXiv_2005.04121_votes.txt
2005.04131	2	votes_VoxCharta/arXiv_2005.04131_votes.txt
2005.04172	12	votes_VoxCharta/arXiv_2005.04172_votes.txt
2005.04196	0	
2005.04202	0	
2005.04207	15	votes_VoxCharta/arXiv_2005.04207_votes.txt
2005.04221	0	
2005.04233	5	votes_VoxCharta/arXiv_2005.04233_votes.txt
2005.04237	0	
2005.04239	4	votes_VoxCharta/arXiv_2005.04239_votes.txt
2005.04243	0	
2005.04244	6	votes_VoxCharta/arXiv_2005.04244_votes.txt
2005.04253	0	
2005.04257	1	votes_VoxCharta/arXiv_2005.04257_votes.txt
2005.04307	4	votes_VoxCharta/arXiv_2005.04307_votes.txt
2005.04325	10	votes_VoxCharta/arXiv_2005.04325_votes.txt
2005.04336	0	
2005.04389	0	
2005.04428	2	votes_VoxCharta/arXiv_2005.04428_votes.txt
2005.04491	6	votes_VoxCharta/arXiv_2005.04491_votes.txt
2005.04604	10	votes_VoxCharta/arXiv_2005.04604_votes.txt
2005.04626	2	votes_VoxCharta/arXiv_2005.04626_votes.txt
2005.04629	0	
2005.04647	0	
2005.04716	1	votes_VoxCharta/arXiv_2005.04716_votes.txt
2005.04730	0	
2005.04734	6	votes_VoxCharta/arXiv_2005.04734_votes.txt
2005.04762	1	votes_VoxCharta/arXiv_2005.04762_votes.txt
2005.04765	5	votes_VoxCharta/arXiv_2005.04765_votes.txt
2005.04805	1	votes_VoxCharta/arXiv_2005.04805_votes.txt
