id	total_votes
2005.10656	66
2007.00555	61
2007.10716	51
2006.11235	42
2009.04471	42
2004.09515	41
2008.12783	39
2004.10207	38
2004.06245	36
2007.08991	35
2004.01139	33
2009.01241	31
2009.02576	30
2004.07240	30
2009.07282	29
2006.09721	28
2007.04007	28
2004.01188	27
2008.08084	27
2005.13161	27
2008.11207	26
2004.06707	24
2007.02865	24
2008.00022	23
2008.08582	23
2005.14351	23
2004.02937	23
2007.07288	23
2009.04496	22
2004.04833	22
1905.03601	22
2006.11287	22
2008.02805	22
2006.06706	21
2007.12607	21
2006.13685	21
2004.03201	20
2008.05479	20
2004.07263	20
2004.06619	20
2006.08561	20
2006.14122	20
2009.01213	20
2008.07754	19
2004.11396	19
2009.05341	19
2008.12312	19
2006.06298	19
2007.15632	19
2004.04808	18
2005.05146	18
2005.09227	18
2005.12933	18
2009.04368	18
2007.02941	18
2007.15994	18
2009.01728	18
2006.07325	17
2004.02893	17
2005.04207	17
