id	total_votes
2009.07282	29
2009.04471	17
2009.06882	15
2009.08459	14
2009.08455	14
2009.07281	14
2009.05581	13
2009.07292	13
2009.06931	12
2009.08550	12
2009.08268	12
2009.08383	12
2009.07275	12
2009.07192	12
2009.08743	12
2009.08970	11
2009.08224	9
2009.06777	9
2009.07859	9
2009.07295	8
2009.04496	8
2009.08718	8
2009.06646	7
2009.07835	7
2009.06643	7
2009.05070	6
2009.06647	6
2009.07832	6
2009.04444	6
2009.08473	6
2009.07285	6
2009.08212	6
2009.06760	6
2009.04368	6
2009.07861	6
2009.06547	6
2009.06555	6
2009.05341	6
2009.05558	6
2009.05077	6
2009.08730	6
2009.08483	6
2009.05249	5
2009.03927	5
2009.07283	5
2009.07858	5
2009.06663	5
2009.07023	5
2009.07813	5
2009.01241	5
2009.07852	5
2009.05584	5
2009.07846	5
2009.05063	5
2009.06922	5
2009.08470	5
2008.12783	5
2009.01213	5
2009.08159	5
2009.05049	5
