cast_date	cast_time
06/24/2020	9:14pm
06/25/2020	12:05am
06/25/2020	1:02am
06/25/2020	1:22am
06/25/2020	1:42am
06/25/2020	2:07am
06/25/2020	3:10am
06/25/2020	4:24am
06/25/2020	4:44am
06/25/2020	5:31am
06/25/2020	5:50am
06/25/2020	6:28am
06/25/2020	6:32am
06/25/2020	6:40am
06/25/2020	6:55am
06/25/2020	7:37am
06/25/2020	8:12am
06/25/2020	9:52am
06/25/2020	10:30am
06/25/2020	2:34pm
06/25/2020	3:46pm
06/25/2020	5:47pm
06/26/2020	4:27am
06/26/2020	8:48am
06/27/2020	9:06pm
06/28/2020	3:01am
06/28/2020	2:32pm
06/29/2020	1:29am
06/29/2020	1:44pm
07/01/2020	11:30am
07/02/2020	10:59pm
07/02/2020	10:59pm
07/02/2020	10:59pm
